order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
926253660611266,Battery Terminal connector,92.00,1,Car maintenace,Credit Card,Nexa PH,11/21/2024,11/21/2024,,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
926253660311266,Floating wall white,298.00,1,House Maintenace,Credit Card,MEIANVU PH,11/21/2024,11/21/2024,11/22/2024,J&T Cargo PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
926253660311266,Floating wall black,298.00,1,Pasabuy,Credit Card,MEIANVU PH,11/21/2024,11/21/2024,11/22/2024,J&T Cargo PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
99520974011266,Brush Drawiing Arts,36.86,1,Pasabuy,Paylater,Bulk Premium Stationary,11/21/2024,11/14/2024,11/15/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
99520974011266,Acrylic Paint,60.45,1,Pasabuy,Paylater,Bulk Premium Stationary,11/21/2024,11/14/2024,11/15/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
99520974011266,Canvas,58.20,1,Pasabuy,Paylater,Bulk Premium Stationary,11/21/2024,11/14/2024,11/15/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
926501984111266,Buffing polishing pads,113.28,1,Car maintenace,Paylater,Car Modification Mall,11/13/2024,11/11/2024,11/12/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
926501984111266,CR2025 Battery,12.22,1,Others,Paylater,Car Modification Mall,11/13/2024,11/11/2024,11/12/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
926501984111266,Clay bar car washing ,84.48,1,Car maintenace,Paylater,Car Modification Mall,11/13/2024,11/11/2024,11/12/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
918490654611266,Doormat,122.40,6,House Maintenace,Credit Card,Haran's Patahian,11/9/2024,11/13/2024,11/15/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490656411266,Panty 6pcs,173.40,1,Personal use,Credit Card,Encounter august,11/9/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490655611266,Flat leeaf Parsley,17.00,1,Garden maintenace,Credit Card,Garden Avenue,11/9/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490655611266,Arugula,18.00,1,Garden maintenace,Credit Card,Garden Avenue,11/7/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
